address,size_bytes,size_hex,symbol_name,raw_name,binding,source_file,reference_file,object_id,object_source,classification,status,attempts,best_score,commit,notes_file
0x003C5230,260,0x104,_ch4dma,_ch4dma,local,csc.c,,external/csc_1456,csc.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003C5230__ch4dma.md
0x003C9760,260,0x104,__kernel_sinf,__kernel_sinf,global,../../../../../src/newlib/libm/math/kf_sin.c,,external/kf_sin_1488,../../../../../src/newlib/libm/math/kf_sin.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003C9760___kernel_sinf.md
0x003CD9B0,260,0x104,extract_cie_info,extract_cie_info,local,../../src/gcc/frame.c,,external/frame_1510,../../src/gcc/frame.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003CD9B0_extract_cie_info.md
0x003CF8C8,260,0x104,fclose,fclose,global,../../../../../src/newlib/libc/stdio/fclose.c,,external/fclose_1522,../../../../../src/newlib/libc/stdio/fclose.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003CF8C8_fclose.md
0x003CF9D0,260,0x104,fflush,fflush,global,../../../../../src/newlib/libc/stdio/fflush.c,,external/fflush_1523,../../../../../src/newlib/libc/stdio/fflush.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003CF9D0_fflush.md
0x003D17CC,260,0x104,memmove,memmove,global,../../../../../../src/newlib/libc/machine/r5900/memmove.S,,external/memmove_1543,../../../../../../src/newlib/libc/machine/r5900/memmove.S,excluded_handwritten,excluded_handwritten,0,,,notes/functions/003D17CC_memmove.md
0x003D8DC8,260,0x104,__sccl,__sccl,global,../../../../../src/newlib/libc/stdio/vfscanf.c,,external/vfscanf_1579,../../../../../src/newlib/libc/stdio/vfscanf.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003D8DC8___sccl.md
0x003C23A8,264,0x108,_pictureData0,_pictureData0,global,mpc.c,,external/mpc_1455,mpc.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003C23A8__pictureData0.md
0x003C33B0,264,0x108,_peepBit,_peepBit,global,mpc.c,,external/mpc_1455,mpc.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003C33B0__peepBit.md
0x003B0320,268,0x10C,get__7istreamPcic,get__7istreamPcic,global,../../../src/libio/isgetline.cc,,external/isgetline_1381,../../../src/libio/isgetline.cc,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003B0320_get__7istreamPcic.md
0x003C37E0,268,0x10C,_nextHeader,_nextHeader,global,mpc.c,,external/mpc_1455,mpc.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003C37E0__nextHeader.md
0x003CD078,268,0x10C,__pack_f,__pack_f,global,fp-bit.c,,external/fp-bit_1509,fp-bit.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003CD078___pack_f.md
0x003D8F88,268,0x10C,__swsetup,__swsetup,global,../../../../../src/newlib/libc/stdio/wsetup.c,,external/wsetup_1582,../../../../../src/newlib/libc/stdio/wsetup.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003D8F88___swsetup.md
0x003C2298,272,0x110,_mbAddressIncrement,_mbAddressIncrement,global,mpc.c,,external/mpc_1455,mpc.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003C2298__mbAddressIncrement.md
0x003C4960,272,0x110,_dispRefImage,_dispRefImage,global,mpc.c,,external/mpc_1455,mpc.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003C4960__dispRefImage.md
0x003DFC60,272,0x110,sceSifRebootIop,sceSifRebootIop,global,iopreset.c,,external/iopreset_1610,iopreset.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003DFC60_sceSifRebootIop.md
0x003AF4F8,276,0x114,_$_8iostream,_$_8iostream,global,../../../src/libio/iostream.cc,,external/iostream_1380,../../../src/libio/iostream.cc,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003AF4F8__$_8iostream.md
